"nr","cod_lmi","cod_lmi_jud","cod_lmi_nat","cod_lmi_grupa","cod_lmi_val","cod_lmi_num","SIRUTA_judet","judet","SIRUTA_UAT","rang","UAT","SIRUTA","localitate","denumire","latitudine_y","longitudine_x","cota","adresa","observatii_adresa","cod_postal","strada_nume","strada_numar","tip_patrimoniu","program_arhitectura","tip_monument","datare","fotografiat","existent","constructie_noua","stare_generala","observatii","observatii_cc"
1,"B-II-m-B-17929","B","II","m","B",17929,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179178,"Sector 4","Casă Nifon Mitropolitul",44.424931110043,26.0950825395198,,"Str. 11 Iunie 2 sector 4",,,"Str. 11 iunie ",2,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX","DA","DA","NU","DEGRADAT",".","a fost adăugat ulterior în baza de date"
2,"B-II-m-B-17930","B","II","m","B",17930,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Imobil (PMB)",44.4345749760949,26.0994121950949,,"Str. Academiei 3-5 sector 1, Bd. Elisabeta 15-19","Bd. Elisabeta 15-19",,"Str. Academiei","3-5","Patrimoniu administrativ","Clădire administrativă (primărie, prefectură, guvern, minister ș.a.)",,"sf. sec. XIX","DA","DA","NU","ÎN REABILITARE","ȘANTIER",
3,"B-II-m-A-17931","B","II","m","A",17931,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Biserica ""Sf. Nicolae""- Dintr-o zi",44.4367538382533,26.099459871978,,"Str. Academiei 22 sector 1",,,"Str. Academiei",22,"Patrimoniu religios","Clădire de cult","Biserică",1702.1915,"DA","DA","NU","REABILITAT",".",
4,"B-II-m-B-21008","B","II","m","B",21008,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Pasajul Generala",44.4375410877713,26.0978882833973,,"Str. Academiei 39-41 sector 1",,,"Str. Academiei","39-41","Patrimoniu transporturi",,"Edificiu public","1935 - 1939","DA","DA","NU","DEGRADAT",".",
5,"B-II-m-B-17932","B","II","m","B",17932,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.447568,26.0681839,,"Str. Afluentului 30 sector 1",,,"Str. Afluentului",30,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1900,"DA","DA","NU","PUTERNIC DEGRADAT","Mansardă renovată",
6,"B-II-m-B-17933","B","II","m","B",17933,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4503634178226,26.0919072164782,,"Str. Albac 25 sector 1",,,"Str. Albac",25,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","prima jum. sec. XX","DA","DA","NU","PUTERNIC DEGRADAT",".",
7,"B-II-m-B-17939","B","II","m","B",17939,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă Gh. Cantacuzino",44.4503105040246,26.0941808781774,,"Str. Alecsandri Vasile 1-3 sector 1",,,"Str. Alecsandri Vasile","1-3","Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1935,"DA","DA","NU","CONSERVAT",".","Posibil sa fie doar numarul 3"
8,"B-II-m-B-17940","B","II","m","B",17940,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4504320009022,26.0941679718465,,"Str. Alecsandri Vasile 5 sector 1",,,"Str. Alecsandri Vasile",5,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - sec. XX","DA","DA","NU","DAGRADAT",".",
9,"B-II-m-B-17941","B","II","m","B",17941,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4503046,26.0943755,,"Str. Alecsandri Vasile 6 sector 1",,,"Str. Alecsandri Vasile",6,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - sec. XX","DA","DA","NU","PUTERNIC DEGRADAT",".",
10,"B-II-m-B-17942","B","II","m","B",17942,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4508183439607,26.0933249601598,,"Str. Alecsandri Vasile 7 sector 1",,,"Str. Alecsandri Vasile",7,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - sec. XX","DA","DA","NU","CONSERVAT","Este la nr. 22",
11,"B-II-m-B-17943","B","II","m","B",17943,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4504542,26.0943708,,"Str. Alecsandri Vasile 8 sector 1",,,"Str. Alecsandri Vasile",8,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - sec. XX","DA","DA","NU","REABILITAT",".",
12,"B-II-m-B-17944","B","II","m","B",17944,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4507910914278,26.0940981405784,,"Str. Alecsandri Vasile 9 sector 1",,,"Str. Alecsandri Vasile",9,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","CONSERVAT",".",
13,"B-II-m-B-17945","B","II","m","B",17945,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4506271,26.094379,,"Str. Alecsandri Vasile 10 sector 1",,,"Str. Alecsandri Vasile",10,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sf. sec. XIX - prima jum. sec. XX","DA","DA","NU","DEGRADAT",".",
14,"B-II-m-B-17946","B","II","m","B",17946,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Casă",44.4508612833198,26.0940087398221,,"Str. Alecsandri Vasile 13 sector 1",,,"Str. Alecsandri Vasile",13,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1900,"DA","DA","NU","ÎN REABILITARE","ȘANTIER",
15,"B-II-m-B-17947","B","II","m","B",17947,403,"BUCUREȘTI",179132,"municipiu","BUCUREȘTI",179141,"Sector 1","Muzeul Frederick și Cecilia Cuțescu Storck",44.4509833,26.0947206,,"Str. Alecsandri Vasile 16 sector 1",,,"Str. Alecsandri Vasile",16,"Patrimoniu reprezentativ","Clădire cu alte funcțiuni",,1914,"DA","DA","NU","REABILITAT",".",
