cod_lmi;SIRSUP;rang;UAT;SIRUTA;localitate;SIRINF;sector;adresa;strada_nume;strada_numar;cod_lmi_jud;cod_lmi_nat;cod_lmi_grupa;cod_lmi_val;cod_lmi_num;tip_patrimoniu;program;tip_monument;denumire;observatii_adresa;fotografiat;Inexistent;constructie_noua;stare;observatii;observatii_corina;datare;x;y
B-II-m-B-17929;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179178;Sector 4;Str. 11 Iunie 2 sector 4;Str. 11 iunie ;2;B;II;m;B;17929;;;;Casa Nifon Mitropolitul;;DA;NU;NU;DEGRADAT;.;a fost adăugat ulterior în baza de date;sf. sec. XIX;26.0950825395198;44.424931110043
B-II-m-B-17930;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Academiei 3-5 sector 1, Bd. Elisabeta 15-19;Str. Academiei;3-5;B;II;m;B;17930;;;;Imobil (PMB);Bd. Elisabeta 15-19;DA;NU;NU;ÎN REABILITARE;ȘANTIER;;sf. sec. XIX;26.0994121950949;44.4345749760949
B-II-m-A-17931;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Academiei 22 sector 1;Str. Academiei;22;B;II;m;A;17931;;;;"Biserica ""Sf. Nicolae""- Dintr-o zi";;DA;NU;NU;REABILITAT;.;;1702.1915;26.099459871978;44.4367538382533
B-II-m-B-21008;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Academiei 39-41 sector 1;Str. Academiei;39-41;B;II;m;B;21008;;;;Pasajul Generala;;DA;NU;NU;DEGRADAT;.;;1935 - 1939;26.0978882833973;44.4375410877713
B-II-m-B-17932;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Afluentului 30 sector 1;Str. Afluentului;30;B;II;m;B;17932;;;;Casă;;DA;NU;NU;PUTERNIC DEGRADAT;Mansardă renovată;;1900;26.0681839;44.447568
B-II-m-B-17933;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Albac 25 sector 1;Str. Albac;25;B;II;m;B;17933;;;;Casă;;DA;NU;NU;PUTERNIC DEGRADAT;.;;prima jum. sec. XX;26.0919072164782;44.4503634178226
B-II-m-B-17939;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Alecsandri Vasile 1-3 sector 1;Str. Alecsandri Vasile;1-3;B;II;m;B;17939;;;;Casa Gh. Cantacuzino;;DA;NU;NU;CONSERVAT;.;Posibil sa fie doar numarul 3;1935;26.0941808781774;44.4503105040246
B-II-m-B-17940;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Alecsandri Vasile 5 sector 1;Str. Alecsandri Vasile;5;B;II;m;B;17940;;;;Casă;;DA;NU;NU;DAGRADAT;.;;sf. sec. XIX - sec. XX;26.0941679718465;44.4504320009022
B-II-m-B-17941;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Alecsandri Vasile 6 sector 1;Str. Alecsandri Vasile;6;B;II;m;B;17941;;;;Casă;;DA;NU;NU;PUTERNIC DEGRADAT;.;;sf. sec. XIX - sec. XX;26.0943755;44.4503046
B-II-m-B-17942;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Alecsandri Vasile 7 sector 1;Str. Alecsandri Vasile;7;B;II;m;B;17942;;;;Casă;;DA;NU;NU;CONSERVAT;Este la nr. 22;;sf. sec. XIX - sec. XX;26.0933249601598;44.4508183439607
B-II-m-B-17943;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Alecsandri Vasile 8 sector 1;Str. Alecsandri Vasile;8;B;II;m;B;17943;;;;Casă;;DA;NU;NU;REABILITAT;.;;sf. sec. XIX - sec. XX;26.0943708;44.4504542
B-II-m-B-17944;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Alecsandri Vasile 9 sector 1;Str. Alecsandri Vasile;9;B;II;m;B;17944;;;;Casă;;DA;NU;NU;CONSERVAT;.;;sf. sec. XIX - prima jum. sec. XX;26.0940981405784;44.4507910914278
B-II-m-B-17945;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Alecsandri Vasile 10 sector 1;Str. Alecsandri Vasile;10;B;II;m;B;17945;;;;Casă;;DA;NU;NU;DEGRADAT;.;;sf. sec. XIX - prima jum. sec. XX;26.094379;44.4506271
B-II-m-B-17946;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Alecsandri Vasile 13 sector 1;Str. Alecsandri Vasile;13;B;II;m;B;17946;;;;Casă;;DA;NU;NU;ÎN REABILITARE;ȘANTIER;;1900;26.0940087398221;44.4508612833198
B-II-m-B-17947;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Alecsandri Vasile 16 sector 1;Str. Alecsandri Vasile;16;B;II;m;B;17947;;;;Muzeul Frederick și Cecilia Cuțescu Storck;;DA;NU;NU;REABILITAT;.;;1914;26.0947206;44.4509833
B-II-m-B-17948;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Alecsandri Vasile 18 sector 1;Str. Alecsandri Vasile;18;B;II;m;B;17948;;;;Casă;;DA;NU;NU;RENOVAT;.;;sf. sec. XIX - prima jum. sec. XX;26.0944333810185;44.4512074103689
B-II-m-B-17949;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Alecsandri Vasile 20 sector 1;Str. Alecsandri Vasile;20;B;II;m;B;17949;;;;Casă;;DA;NU;NU;DEGRADAT;.;;sf. sec. XIX - prima jum. sec. XX;26.0943833;44.4512857
B-II-m-B-17950;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Alexandrescu Grigore 6 sector 1;Str. Alexandrescu Grigore;6;B;II;m;B;17950;;;;Casa lulia Constantinescu;;DA;NU;NU;DEGRADAT;.;;sf. sec. XIX - prima jum. sec. XX;26.0882974973915;44.4507054409541
B-II-m-B-17951;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Alexandrescu Grigore 10 sector 1;Str. Alexandrescu Grigore;10;B;II;m;B;17951;;;;Casă;;DA;NU;NU;REABILITAT;.;;sf. sec. XIX - prima jum. sec. XX;26.0886481451788;44.4507338641782
B-II-m-B-17952;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Alexandrescu Grigore 12 sector 1;Str. Alexandrescu Grigore;12;B;II;m;B;17952;;;;Casă;;DA;NU;NU;CONSERVAT;COINCIDE B-II-m-B-18337;Posibil sa coincida cu B-II-m-B-18337;sf. sec. XIX - prima jum. sec. XX;26.0893799;44.450937
B-II-m-B-17953;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Alexandrescu Grigore 14 sector 1;Str. Alexandrescu Grigore;14;B;II;m;B;17953;;;;Casă;;DA;NU;NU;DEGRADAT;.;;sf. sec. XIX - prima jum. sec. XX;26.0899037660005;44.4509389953296
B-II-m-B-17954;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Alexandrescu Grigore 26 sector 1;Str. Alexandrescu Grigore;26;B;II;m;B;17954;;;;Casă;;DA;NU;NU;PUTERNIC DEGRADAT;.;;sf. sec. XIX - prima jum. sec. XX;26.0911899;44.4511548
B-II-m-B-17955;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Alexandrescu Grigore 28 sector 1;Str. Alexandrescu Grigore;28;B;II;m;B;17955;;;;Casă;;DA;NU;NU;DEGRADAT;.;;sf. sec. XIX - prima jum. sec. XX;26.0912599;44.4511774
B-II-m-B-17956;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Alexandrescu Grigore 32-34 sector 1;Str. Alexandrescu Grigore;32-34;B;II;m;B;17956;;;;Casă;;DA;NU;NU;REABILITAT;.;;sf. sec. XIX - prima jum. sec. XX;26.0918369;44.4512492
