"nr","cod LMI","val","SIRUTA_judet","judet","SIRUTA_UAT","rang","UAT","SIRUTA","localitate","denumire","adresa","latitudine","longitudine","cota","cod postal","stare generală","program","tipul monumentului","datare","tipul patrimoniului","observatii"
706,"CJ-II-a-A-07240","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Cetățuia Cluj-Napoca","Zona delimitată de: limita estică a parcelei din str. Dragalina nr.70, str. Șerpuitoare nr.1-27 fundul de parcelă,, str. Șerpuitoare și str. Augustin Bunea, str. Călărașilor frontul nordic, str. Cetății frontul estic de la nr. 25 la nr. 55, limita vestică a parcelei din str. Galilei nr.18, Aleea scărilor, str. Dragalina frontul nordic de la Aleea scărilor la nr. 70",46.774642,23.581701,394,400167,"Stare medie","Clădiri cu caracter militar (fortificații, cetăți etc.)","Fortificație Vauban",1716,"Patrimoniu reprezentativ","Urmează a fi restaurată."
707,"CJ-II-a-A-07241","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Fragmente din zidul primei incinte a orașului medieval","Străzile: Deleu, nr. 2-4, Doja Gheorghe, nr. 7 și 23-25 ,Toplița, nr.8-10, Piața Unirii nr.25, Matei Corvin nr.4 (subsol), Petroșani nr. 1,3, 21, 23, Pavel Chinezu nr.5, Isac Emil nr.10, Barițiu George, nr.25",,,,,"Stare medie",,"Zid",1316,"Patrimoniu reprezentativ",
708,"CJ-II-a-A-07242","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Fragment din zidul celei de a doua incinte a orașului medieval","Străzile: Potaissa nr.1-3, Iancu Avram, nr.1-27, Str. Republicii nr. 3-7, Universității, nr. 7- 9, Kogălniceanu M., nr.2-10, Baba Novac (extrema sudică și nr.15). Tipografiei nr.17",,,,,"Stare medie",,"Zid",1406,"Patrimoniu reprezentativ",
715,"CJ-II-a-A-07244","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Ansamblul urban ""Centrul istoric al orașului Cluj""","Zonă delimitată de: Gara Cluj, limita nordică a peronului, fontul nordic al str. Căii Ferate, podul feroviar peste Someș, str.Răsăritului până la str. Ecaterina Varga, str.Ecaterina Varga, frontul estic, str. Petrila, frontul sudic de la nr.14 la 2„ Parcul Feroviarilor limita estică, Parcul Feroviarilor limita sudică, malul stâng al Someșului între Str. Deltei și Str. Spitalului, str. Decebal, de la nr.105 la nr. 47și latura sudică a parcelei, str. Decebal nr. 50, latura sudică, Str. Traian nr.41, frontul vestic al Str. Traian de la nr. 41 la nr.11, latura sudică a parcelei str. Traian nr.14, traversare Someș, str. lașilor frontul nordic de la nr.23 pană la str. Constanța, str. Constanța frontul vestic de la nr.39 la nr.13, frontul nordic al str. Bălcescu nr 1-15, limita estică a parcelei str. Bălcescu nr 6, str. Argeș, frontul nordic de la nr 9 la nr 21, str. Paris, frontul vestic de la nr.7 până la nr.21 Decembrie, str. Pitești, frontul vestic, între Str. 21 Decembrie și Str. Dobrogeanu Gherea, fundul parcelelor Str. Dorobanților nr.23-35, str. Năvodari frontul vestic, latura estică a parcelei str. 21 Decembrie nr.40, latura estică a parcelei str. Dostoievski nr.47, str. Dostoievski frontul nordic de la 47 la nr. 27, str. Valeriu Braniște frontul vestic, str. Titulescu frontul nordic intre str. Valeriu Braniște și pta Cipariu, str. Anatole France frontul sud-vestic, limita dintre parcelele str. Delavrancea nr 6 și nr. 8, limita dintre parcelele str. Axente Severnr. 3 si 5, limita dintre parcelele str. Brîncoveanu nr. 3 și 5, limite dintre parcelele str. Brâncoveanu nr. 4 și 6, fundul de parcele str. Budai Deleanu nr. 21-43, str. Măcinului, frontul nordic între str. Budai Deleanu și Str. Zărnești, str. Maiorescu frontul nordic, str. Predeal, frontul vestic, intre str. Maiorescu și str. Ady Endre, str. Andy Endre fundul de parcelă de la nr.42 la 26, str. Vulcan fundul de parcelă de la nr 19 la 49, Calea Turzii nr.95-117, pe fundul de parcelă, limita între parcelele Calea Turzii nr 117 și 119, limita sudică și vestică a parcelei Calea Turzii nr 120, limita dintre parcelele str Șoimului nr. 6 și 8, Str. Șoimului frontul sudic de la nr. 6 pină la str. Republicii, str. Republicii nr. 104 până la 80 pe fundul de parcelă, extremitatea vestică str. Cireșilor frontul nordic, str.Pasteur, frontul estic între Str. Cireșilor și Speranței, str. Speranței, frontul nordic, de la str. Pasteur pînă la nr 23, limita de parcelă intre Str. Pasteur nr 23 și 25, fundul de parcelă la Str. Pasteur nr 23 la nr.1, fundul de parcelă str. Marinescu de la nr 41 la nr 25, limita intre parcele str. Marinescu nr 25 și 23, str. Marinescu frontul nord- vestic între nr 42 și 30, limita de parcelă intre str. Marinescu nr.30 și 28, limita de parcelă între parcelele str. Hașdeu nr 29 și 27, str. Hașdeu frontul sudic de la nr.29 pană la str. Mărginașă. Limita sudică a parcelei str Manășturului nr 3, limita dintre parcelele str. Plopilor nr 17-19, str. Plopilor frontul sudic de la nr. 19 pînă la Canalul Morii, Canalul Morii malul nordic intre Str. Berăriei și Salcâmului, limita sudică și vestică a parcelei Str. Salcîmului nr. 28, str. Uzinei Electirce, frontul estic intre Str. Salcâmului și Aleea Parcului, Aleea Parcului, frontul sudic între Str. Uzinei Electrice și str. Coșbuc, Str. Coșbuc între Aleea Parcului și Râul Someș, malul nordic al râului Someș până la podul Napoca, str. Dragalina, frontul sudic, limita estică a parcelei str. Dragalina nr 70, fundul de parcele str. Șerpuitoare nr. 1-27, limita estică a bazei sportive dintre Str. Șerpuitoare și str. Augustin Bunea, str. Călărașilor frontul nordic, str. Cetății frontul vestic între nr.32 și 2, str. Mecanicilor frontul estic până la Pta Gării, podul rutier peste calea ferată, limita sudică, vestică și nordică a parcelei str. Tudor Vladimirescu nr.2-4, str. Locomotivei, frontul vestic între Str. Maiacovschi și podul rutier peste calea ferată, Gara Cluj, limita nordică a peronului, în dreptul gării",,,,,"Stare medie",,,"sec. XIV-XIX","Patrimoniu reprezentativ",
771,"CJ-II-a-A-07297","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Ansamblul clinicilor universitare","Str. Clinicilor 15",46.765838,23.583163,354,400006,"Stare medie","Clădire pentru sănătate",,"1900 -1904","Patrimoniu reprezentativ","În curs de restaurare la o parte din corpuri."
780,"CJ-II-a-A-07305","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Mănăstirea Franciscanilor","Str. Deleu 2-4",46.772003,23.587812,346,400112,"Stare medie","Clădire de cult","Mănăstire","sec. XV-XVIII","Patrimoniu religios","În curs de restaurare."
859,"CJ-II-a-A-07378","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casele Profesorilor reformați","Str. Kogălniceanu Mihail 13,15, 17,19",46.768129,23.594679,348,400084,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII","Patrimoniu domestic urban",
868,"CJ-II-a-A-07383","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Palatele ""Status-ului romano-catolic""","Str. Maniu luliu 1-6",,,,,"Stare medie",,,1902,"Patrimoniu religios",
869,"CJ-II-a-A-07383.01","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Palatele ""Status-ului romano-catolic""","Str. Maniu luliu 1, 3 și 5",46.770414,23.591047,350,400095,"Stare medie","Clădire administrativă (primărie, prefectură, guvern, minister ș.a.)",,1902,"Patrimoniu religios",
870,"CJ-II-a-A-07383.02","A",127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Palatele ""Status-ului romano-catolic""","Str. Maniu luliu 2, 4 și 6",46.770209,23.591168,350,400095,"Stare bună","Clădire administrativă (primărie, prefectură, guvern, minister ș.a.)",,1902,"Patrimoniu religios",
